shape,domain,timestamp_epoch_s,relative_to_measure_start_s,power_W,inside_measurement_window
1x2048x2048,PP0,1784547996.455065,8.985438,64.179175,1
1x2048x2048,PP0,1784547997.462081,9.992454,65.505997,1
1x2048x2048,PP0,1784547998.475818,11.006191,62.193090,1
1x2048x2048,PP0,1784547999.477691,12.008064,59.724382,1
1x2048x2048,PP0,1784548000.491560,13.021933,61.645271,1
1x2048x2048,PP0,1784548001.506433,14.036805,63.268520,1
1x2048x2048,PP0,1784548002.511378,15.041751,61.874948,1
1x2048x2048,PP0,1784548003.518610,16.048983,65.567905,1
1x2048x2048,PP0,1784548004.525997,17.056370,59.408209,1
1x2048x2048,PP0,1784548005.530063,18.060436,65.536624,1
1x2048x2048,PP0,1784548006.537739,19.068112,59.270545,1
1x2048x2048,PP0,1784548007.547719,20.078092,64.931049,1
1x2048x2048,PP0,1784548008.561765,21.092138,64.459125,1
1x2048x2048,PP0,1784548009.566361,22.096734,57.438137,1
1x2048x2048,PP0,1784548010.570433,23.100806,57.285364,1
1x2048x2048,PP0,1784548011.578635,24.109007,59.927983,1
1x2048x2048,PP0,1784548012.580304,25.110677,62.095630,1
1x2048x2048,PP0,1784548013.586863,26.117236,58.862961,1
1x2048x2048,PP0,1784548014.591442,27.121815,56.248767,1
1x2048x2048,PP0,1784548015.599113,28.129486,60.902122,1
1x2048x2048,PP0,1784548016.612897,29.143270,59.993564,1
1x2048x2048,DRAM,1784547983.350219,-4.119408,0.000000,0
1x2048x2048,DRAM,1784547984.353442,-3.116185,0.000000,0
1x2048x2048,DRAM,1784547985.357295,-2.112333,0.000000,0
1x2048x2048,DRAM,1784547986.361388,-1.108239,0.000000,0
1x2048x2048,DRAM,1784547987.365962,-0.103665,0.000000,0
1x2048x2048,DRAM,1784547988.371425,0.901798,0.000000,1
1x2048x2048,DRAM,1784547989.376109,1.906482,0.000000,1
1x2048x2048,DRAM,1784547990.390811,2.921184,0.000000,1
1x2048x2048,DRAM,1784547991.405969,3.936342,0.000000,1
1x2048x2048,DRAM,1784547992.421532,4.951905,0.000000,1
1x2048x2048,DRAM,1784547993.431308,5.961680,0.000000,1
1x2048x2048,DRAM,1784547994.436134,6.966507,0.000000,1
1x2048x2048,DRAM,1784547995.446602,7.976974,0.000000,1
1x2048x2048,DRAM,1784547996.455065,8.985438,0.000000,1
1x2048x2048,DRAM,1784547997.462081,9.992454,0.000000,1
1x2048x2048,DRAM,1784547998.475818,11.006191,0.000000,1
1x2048x2048,DRAM,1784547999.477691,12.008064,0.000000,1
1x2048x2048,DRAM,1784548000.491560,13.021933,0.000000,1
1x2048x2048,DRAM,1784548001.506433,14.036805,0.000000,1
1x2048x2048,DRAM,1784548002.511378,15.041751,0.000000,1
1x2048x2048,DRAM,1784548003.518610,16.048983,0.000000,1
1x2048x2048,DRAM,1784548004.525997,17.056370,0.000000,1
1x2048x2048,DRAM,1784548005.530063,18.060436,0.000000,1
1x2048x2048,DRAM,1784548006.537739,19.068112,0.000000,1
1x2048x2048,DRAM,1784548007.547719,20.078092,0.000000,1
1x2048x2048,DRAM,1784548008.561765,21.092138,0.000000,1
1x2048x2048,DRAM,1784548009.566361,22.096734,0.000000,1
1x2048x2048,DRAM,1784548010.570433,23.100806,0.000000,1
1x2048x2048,DRAM,1784548011.578635,24.109007,0.000000,1
1x2048x2048,DRAM,1784548012.580304,25.110677,0.000000,1
1x2048x2048,DRAM,1784548013.586863,26.117236,0.000000,1
1x2048x2048,DRAM,1784548014.591442,27.121815,0.000000,1
