pe_rows,pe_cols,pe_count,ooc_variant,target_frequency_mhz,wns_ns,timing_met,estimated_fmax_mhz,lut,ff,expected_pe_dsp,routed_report_dsp,utilization_report,timing_report
48,48,2304,ooc_implement1,270,-0.281,False,250.96,220949,168578,2304,2304,W4A4_PD_48_48/ooc_implement1/freq_270MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement1/freq_270MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement1,280,-0.404,False,251.545,221371,169385,2304,2304,W4A4_PD_48_48/ooc_implement1/freq_280MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement1/freq_280MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement1,290,-0.603,False,246.836,221215,168713,2304,2304,W4A4_PD_48_48/ooc_implement1/freq_290MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement1/freq_290MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement1,300,-0.95,False,233.463,221112,168811,2304,2304,W4A4_PD_48_48/ooc_implement1/freq_300MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement1/freq_300MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,200,0.123,True,205.044,387110,291314,4096,4096,W4A4_PD_64_64/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,220,-0.157,False,212.655,387173,291538,4096,4096,W4A4_PD_64_64/ooc_implement/freq_220MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_220MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,240,-0.471,False,215.626,387165,291836,4096,4096,W4A4_PD_64_64/ooc_implement/freq_240MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_240MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,260,-1.347,False,192.561,387334,293270,4096,4096,W4A4_PD_64_64/ooc_implement/freq_260MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_260MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,280,-1.021,False,217.75,387264,293116,4096,4096,W4A4_PD_64_64/ooc_implement/freq_280MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_280MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,300,-1.373,False,212.48,387343,291808,4096,4096,W4A4_PD_64_64/ooc_implement/freq_300MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_300MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,320,-1.237,False,229.253,387329,292186,4096,4096,W4A4_PD_64_64/ooc_implement/freq_320MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_320MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,340,-1.457,False,227.367,387494,291642,4096,4096,W4A4_PD_64_64/ooc_implement/freq_340MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_340MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,360,-3.061,False,171.269,388067,291727,4096,4096,W4A4_PD_64_64/ooc_implement/freq_360MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_360MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,380,-2.02,False,214.981,387397,291687,4096,4096,W4A4_PD_64_64/ooc_implement/freq_380MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_380MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
64,64,4096,ooc_implement,400,-2.454,False,201.857,387596,291847,4096,4096,W4A4_PD_64_64/ooc_implement/freq_400MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_64_64/ooc_implement/freq_400MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
