format,format_label,product_kind,design,top_module,rtl_file,product_width,nx,ny,products_per_dsp,products_per_cycle,UDP_packing_same_width,x_pos,y_pos,result_starts,max_result_overlap,clb_luts,lut_as_logic,lut_as_memory,clb_registers,dsp,LUT_per_product,FF_per_product,matched_one_product_dsp_LUT,matched_one_product_dsp_FF,matched_one_product_dsp_DSP,LUT_saving_vs_matched_one_product_dsp_pct,FF_saving_vs_matched_one_product_dsp_pct,same_throughput_lut_baseline_LUT,same_throughput_lut_baseline_FF,LUT_saving_vs_same_throughput_lut_pct,FF_saving_vs_same_throughput_lut_pct,report
FP8_E2M5,FP8 E2M5 mag5,decoded_mantissa_mag,NormalNonOverlap,FP8_E2M5_NormalNonOverlap,rtl/FP8_E2M5_NormalNonOverlap.v,5,2,2,4,4,4,0 21,0 11,0 11 21 32,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,4,,,96.00,0.00,100.00,,results/table8/vivado_resource/FP8_E2M5_NormalNonOverlap_utilization_synth.rpt
FP8_E2M5,FP8 E2M5 mag5,decoded_mantissa_mag,UltraDSP-Packing,FP8_E2M5_UltraDSP_Packing,rtl/FP8_E2M5_UltraDSP_Packing.v,5,4,1,4,4,4,0 7 14 21,0,0 7 14 21,3,6,6,0,27,1,1.5000,6.7500,0.00,0.00,4,,,96.00,0.00,93.75,,results/table8/vivado_resource/FP8_E2M5_UltraDSP_Packing_utilization_synth.rpt
FP8_E2M5,FP8 E2M5 mag5,decoded_mantissa_mag,NoDSP_LUTParallel,FP8_E2M5_NoDSP_LUTParallel,rtl/FP8_E2M5_NoDSP_LUTParallel.v,5,4,1,4,4,4,0 7 14 21,0,0 7 14 21,0,96,96,0,0,0,24.0000,0.0000,0.00,0.00,4,,,96.00,0.00,0.00,,results/table8/vivado_resource/FP8_E2M5_NoDSP_LUTParallel_utilization_synth.rpt
FP10_E4M5,E4M5 mag5,decoded_mantissa_mag_requested,NoPackingScalar,FP10_E4M5_NoPackingScalar,rtl/FP10_E4M5_NoPackingScalar.v,5,1,1,1,1,4,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,1,,,96.00,0.00,100.00,,results/table8/vivado_resource/FP10_E4M5_NoPackingScalar_utilization_synth.rpt
FP10_E4M5,E4M5 mag5,decoded_mantissa_mag_requested,NormalNonOverlap,FP10_E4M5_NormalNonOverlap,rtl/FP10_E4M5_NormalNonOverlap.v,5,2,2,4,4,4,0 21,0 11,0 11 21 32,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,4,,,96.00,0.00,100.00,,results/table8/vivado_resource/FP10_E4M5_NormalNonOverlap_utilization_synth.rpt
FP10_E4M5,E4M5 mag5,decoded_mantissa_mag_requested,UltraDSP-Packing,FP10_E4M5_UltraDSP_Packing,rtl/FP10_E4M5_UltraDSP_Packing.v,5,4,1,4,4,4,0 7 14 21,0,0 7 14 21,3,6,6,0,27,1,1.5000,6.7500,0.00,0.00,4,,,96.00,0.00,93.75,,results/table8/vivado_resource/FP10_E4M5_UltraDSP_Packing_utilization_synth.rpt
FP10_E4M5,E4M5 mag5,decoded_mantissa_mag_requested,NoDSP_LUTParallel,FP10_E4M5_NoDSP_LUTParallel,rtl/FP10_E4M5_NoDSP_LUTParallel.v,5,4,1,4,4,4,0 7 14 21,0,0 7 14 21,0,96,96,0,0,0,24.0000,0.0000,0.00,0.00,4,,,96.00,0.00,0.00,,results/table8/vivado_resource/FP10_E4M5_NoDSP_LUTParallel_utilization_synth.rpt
MXFP4_E2M1_MAG1,MXFP4 E2M1 mag1,mxfp4_e2m1_mantissa_mag,NoPackingScalar,MXFP4_E2M1_MAG1_NoPackingScalar,rtl/MXFP4_E2M1_MAG1_NoPackingScalar.v,1,1,1,1,1,NAN,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,1,,,18.00,0.00,100.00,,results/table8/vivado_resource/MXFP4_E2M1_MAG1_NoPackingScalar_utilization_synth.rpt
MXFP4_E2M1_MAG1,MXFP4 E2M1 mag1,mxfp4_e2m1_mantissa_mag,NormalNonOverlap,MXFP4_E2M1_MAG1_NormalNonOverlap,rtl/MXFP4_E2M1_MAG1_NormalNonOverlap.v,1,2,9,18,18,NAN,0 25,0 2 4 6 8 10 12 14 16,0 2 4 6 8 10 12 14 16 25 27 29 31 33 35 37 39 41,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,18,,,18.00,0.00,100.00,,results/table8/vivado_resource/MXFP4_E2M1_MAG1_NormalNonOverlap_utilization_synth.rpt
MXFP4_E2M1_MAG1,MXFP4 E2M1 mag1,mxfp4_e2m1_mantissa_mag,UltraDSP-Packing,MXFP4_E2M1_MAG1_UltraDSP_Packing,rtl/MXFP4_E2M1_MAG1_UltraDSP_Packing.v,1,3,12,36,36,NAN,0 13 25,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36,1,17,17,0,102,1,0.4722,2.8333,0.00,0.00,36,,,18.00,0.00,5.56,,results/table8/vivado_resource/MXFP4_E2M1_MAG1_UltraDSP_Packing_utilization_synth.rpt
MXFP4_E2M1_MAG1,MXFP4 E2M1 mag1,mxfp4_e2m1_mantissa_mag,NoDSP_LUTParallel,MXFP4_E2M1_MAG1_NoDSP_LUTParallel,rtl/MXFP4_E2M1_MAG1_NoDSP_LUTParallel.v,1,3,12,36,36,NAN,0 13 25,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36,0,18,18,0,0,0,0.5000,0.0000,0.00,0.00,36,,,18.00,0.00,0.00,,results/table8/vivado_resource/MXFP4_E2M1_MAG1_NoDSP_LUTParallel_utilization_synth.rpt
