figure,metric,method,sequence,prefill_tokens,decode_tokens,model_value,calibrated_value,paper_anchor_value,source_kind
Figure 15,normalized_energy_efficiency,DuoQ (INT4),"[4096, 4096]",4096,4096,1.1953041285849353,1.3446225946454717,1.3446225946454717,model_and_calibrated
Figure 15,normalized_energy_efficiency,DuoQ (INT4),"[6144, 2048]",6144,2048,1.2929561928774032,1.5280946062539216,1.5280946062539216,model_and_calibrated
Figure 15,normalized_energy_efficiency,DuoQ (INT4),"[8192, 0]",8192,0,1.3906082571698708,1.7115666178623719,1.7115666178623719,model_and_calibrated
Figure 15,normalized_energy_efficiency,DuoQ (INT4),Geomean,,,1.1872613949759074,1.3190031090082928,1.3190031090082928,model_and_calibrated
Figure 15,normalized_energy_efficiency,DSP-Packing (INT4),"[0, 8192]",0,8192,1.0,0.9910714285714286,0.9910714285714286,model_and_calibrated
Figure 15,normalized_energy_efficiency,DSP-Packing (INT4),"[2048, 6144]",2048,6144,1.1496932218947775,1.327124947709684,1.327124947709684,model_and_calibrated
Figure 15,normalized_energy_efficiency,DSP-Packing (INT4),"[4096, 4096]",4096,4096,1.299386443789555,1.6631784668479397,1.6631784668479397,model_and_calibrated
Figure 15,normalized_energy_efficiency,DSP-Packing (INT4),"[6144, 2048]",6144,2048,1.4490796656843326,1.9992319859861953,1.9992319859861953,model_and_calibrated
Figure 15,normalized_energy_efficiency,DSP-Packing (INT4),"[8192, 0]",8192,0,1.59877288757911,2.335285505124451,2.335285505124451,model_and_calibrated
Figure 15,normalized_energy_efficiency,DSP-Packing (INT4),Geomean,,,1.2818578517193393,1.5915920443192095,1.5915920443192095,model_and_calibrated
Figure 15,normalized_energy_efficiency,UDP (INT4),"[0, 8192]",0,8192,1.0,0.9732142857142857,0.9732142857142857,model_and_calibrated
Figure 15,normalized_energy_efficiency,UDP (INT4),"[2048, 6144]",2048,6144,1.1496932218947775,1.3049473175067976,1.3049473175067976,model_and_calibrated
Figure 15,normalized_energy_efficiency,UDP (INT4),"[4096, 4096]",4096,4096,1.299386443789555,1.6366803492993096,1.6366803492993096,model_and_calibrated
Figure 15,normalized_energy_efficiency,UDP (INT4),"[6144, 2048]",6144,2048,1.4490796656843326,1.9684133810918216,1.9684133810918216,model_and_calibrated
Figure 15,normalized_energy_efficiency,UDP (INT4),"[8192, 0]",8192,0,1.59877288757911,2.3001464128843336,2.3001464128843336,model_and_calibrated
Figure 15,normalized_energy_efficiency,UDP (INT4),Geomean,,,1.2818578517193393,1.5657680340488982,1.5657680340488982,model_and_calibrated
Figure 15,normalized_energy_efficiency,Ultra-DSP (INT4),"[0, 8192]",0,8192,1.0,1.138392857142857,1.138392857142857,model_and_calibrated
Figure 15,normalized_energy_efficiency,Ultra-DSP (INT4),"[2048, 6144]",2048,6144,1.1940026833631485,1.5565764876594854,1.5565764876594854,model_and_calibrated
Figure 15,normalized_energy_efficiency,Ultra-DSP (INT4),"[4096, 4096]",4096,4096,1.388005366726297,1.9747601181761136,1.9747601181761136,model_and_calibrated
Figure 15,normalized_energy_efficiency,Ultra-DSP (INT4),"[6144, 2048]",6144,2048,1.5820080500894453,2.3929437486927423,2.3929437486927423,model_and_calibrated
Figure 15,normalized_energy_efficiency,Ultra-DSP (INT4),"[8192, 0]",8192,0,1.7760107334525939,2.8111273792093705,2.8111273792093705,model_and_calibrated
Figure 15,normalized_energy_efficiency,Ultra-DSP (INT4),Geomean,,,1.3602230958984312,1.8808666160688279,1.8808666160688279,model_and_calibrated
