figure,metric,method,sequence,prefill_tokens,decode_tokens,model_value,calibrated_value,paper_anchor_value,source_kind
Figure 14,normalized_energy_efficiency,FlightLLM (INT8),"[1024, 128]",1024,128,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_energy_efficiency,FlightLLM (INT8),"[1024, 512]",1024,512,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_energy_efficiency,FlightLLM (INT8),"[1024, 1024]",1024,1024,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_energy_efficiency,FlightLLM (INT8),"[1534, 128]",1534,128,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_energy_efficiency,FlightLLM (INT8),"[1534, 512]",1534,512,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_energy_efficiency,FlightLLM (INT8),"[1534, 1024]",1534,1024,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_energy_efficiency,FlightLLM (INT8),Geomean,,,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),"[512, 128]",512,128,1.3124866057358966,1.6169982744195774,1.6169982744195774,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),"[512, 512]",512,512,1.1953041285849353,1.3872980286550929,1.3872980286550929,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),"[512, 1024]",512,1024,1.130202752389957,1.2596867810081571,1.2596867810081571,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),"[1024, 128]",1024,128,1.3472073397065518,1.6850576064979432,1.6850576064979432,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),"[1024, 512]",1024,512,1.2604055047799139,1.5149092763020289,1.5149092763020289,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),"[1024, 1024]",1024,1024,1.1953041285849353,1.3872980286550929,1.3872980286550929,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),"[1534, 128]",1534,128,1.360525310769303,1.7111633972319733,1.7111633972319733,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),"[1534, 512]",1534,512,1.2928607363140672,1.5785277868591523,1.5785277868591523,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),"[1534, 1024]",1534,1024,1.234242793783652,1.4636253190772242,1.4636253190772242,model_and_calibrated
Figure 14,normalized_energy_efficiency,WP521 (INT4),Geomean,,,1.2566123083935261,1.5047913869837755,1.5047913869837755,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),"[512, 128]",512,128,1.3124866057358966,1.5647890085756118,1.5647890085756118,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),"[512, 512]",512,512,1.1953041285849353,1.3446225946454717,1.3446225946454717,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),"[512, 1024]",512,1024,1.130202752389957,1.2223079202398381,1.2223079202398381,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),"[1024, 128]",1024,128,1.3472073397065518,1.6300235015919495,1.6300235015919495,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),"[1024, 512]",1024,512,1.2604055047799139,1.4669372690511049,1.4669372690511049,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),"[1024, 1024]",1024,1024,1.1953041285849353,1.3446225946454717,1.3446225946454717,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),"[1534, 128]",1534,128,1.360525310769303,1.6550457574872057,1.6550457574872057,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),"[1534, 512]",1534,512,1.2928607363140672,1.5279152592240015,1.5279152592240015,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),"[1534, 1024]",1534,1024,1.234242793783652,1.4177818799623674,1.4177818799623674,model_and_calibrated
Figure 14,normalized_energy_efficiency,DuoQ (INT4),Geomean,,,1.2566123083935261,1.4573076960556683,1.4573076960556683,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),"[512, 128]",512,128,1.479018310063288,2.0664426898138464,2.0664426898138464,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),"[512, 512]",512,512,1.299386443789555,1.6631784668479397,1.6631784668479397,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),"[512, 1024]",512,1024,1.19959096252637,1.439142787422436,1.439142787422436,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),"[1024, 128]",1024,128,1.5322425667369868,2.1859283855074483,2.1859283855074483,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),"[1024, 512]",1024,512,1.39918192505274,1.8872141462734435,1.8872141462734435,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),"[1024, 1024]",1024,1024,1.299386443789555,1.6631784668479397,1.6631784668479397,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),"[1534, 128]",1534,128,1.5526580081506347,2.231759992610139,2.231759992610139,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),"[1534, 512]",1534,512,1.448933337999196,1.9989034879225216,1.9989034879225216,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),"[1534, 1024]",1534,1024,1.3590764697210145,1.7971794791704656,1.7971794791704656,model_and_calibrated
Figure 14,normalized_energy_efficiency,DSP-Packing (INT4),Geomean,,,1.3921068785391593,1.864324153490764,1.864324153490764,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),"[512, 128]",512,128,1.479018310063288,2.0347599874503244,2.0347599874503244,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),"[512, 512]",512,512,1.299386443789555,1.6366803492993096,1.6366803492993096,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),"[512, 1024]",512,1024,1.19959096252637,1.4155249947709683,1.4155249947709683,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),"[1024, 128]",1024,128,1.5322425667369868,2.1527095098654394,2.1527095098654394,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),"[1024, 512]",1024,512,1.39918192505274,1.857835703827651,1.857835703827651,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),"[1024, 1024]",1024,1024,1.299386443789555,1.6366803492993096,1.6366803492993096,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),"[1534, 128]",1534,128,1.5526580081506347,2.197951880827916,2.197951880827916,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),"[1534, 512]",1534,512,1.448933337999196,1.968089106378437,1.968089106378437,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),"[1534, 1024]",1534,1024,1.3590764697210145,1.7689585715152452,1.7689585715152452,model_and_calibrated
Figure 14,normalized_energy_efficiency,UDP (INT4),Geomean,,,1.3921068785391593,1.8351911713269016,1.8351911713269016,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),"[512, 128]",512,128,1.6208085867620752,2.476580474796068,2.476580474796068,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),"[512, 512]",512,512,1.388005366726297,1.9747601181761136,1.9747601181761136,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),"[512, 1024]",512,1024,1.258670244484198,1.695971031165028,1.695971031165028,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),"[1024, 128]",1024,128,1.6897873186245278,2.625267987868647,2.625267987868647,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),"[1024, 512]",1024,512,1.5173404889683961,2.2535492051871993,2.2535492051871993,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),"[1024, 1024]",1024,1024,1.388005366726297,1.9747601181761136,1.9747601181761136,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),"[1534, 128]",1534,128,1.7162457672179778,2.682300653081504,2.682300653081504,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),"[1534, 512]",1534,512,1.5818184091477414,2.3925349670402336,2.3925349670402336,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),"[1534, 1024]",1534,1024,1.4653637471134788,2.1415104321428693,2.1415104321428693,model_and_calibrated
Figure 14,normalized_energy_efficiency,Ultra-DSP (INT4),Geomean,,,1.507001293534224,2.224121287381108,2.224121287381108,model_and_calibrated
