group,method,precision,w_bits,a_bits,lanes,nx,ny,x_kind,offsets,outputs,error_count,ep,mae,mse,max_abs_err
47,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
48,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
49,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
50,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
51,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
52,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
53,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
54,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
55,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
56,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
57,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
58,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
59,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
60,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
61,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
62,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
63,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
64,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
65,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
66,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
67,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
68,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
69,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
70,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
71,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
72,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
73,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
74,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
75,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
76,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
77,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
78,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
79,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
80,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
81,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
82,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
