depth,nx,ny,T,decode_T,pointwise_limit,x_pos,y_pos,product_offsets,cost,cost_per_mult,cost_per_decode_mult,max_adjacent_overlap,total_overlap,pointwise_overlap,is_prefill_pareto,is_decode_pareto,source
3,2,2,4,2,2,0 12,0 3,0 3 12 15,3,0.750000,1.500000,3,6,2,0,0,solver
3,2,2,4,2,2,0 11,0 23,0 11 23 34,-16,-4.000000,-8.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 11,0 22,0 11 22 33,-15,-3.750000,-7.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 11,0 21,0 11 21 32,-14,-3.500000,-7.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 11,0 20,0 11 20 31,-13,-3.250000,-6.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 11,0 19,0 11 19 30,-12,-3.000000,-6.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 11,0 18,0 11 18 29,-11,-2.750000,-5.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 11,0 17,0 11 17 28,-10,-2.500000,-5.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 11,0 16,0 11 16 27,-9,-2.250000,-4.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 11,0 15,0 11 15 26,-8,-2.000000,-4.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 11,0 14,0 11 14 25,-7,-1.750000,-3.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 11,0 8,0 8 11 19,-1,-0.250000,-0.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 11,0 7,0 7 11 18,0,0.000000,0.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 11,0 6,0 6 11 17,1,0.250000,0.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 11,0 5,0 5 11 16,2,0.500000,1.000000,1,2,2,0,0,solver
3,2,2,4,2,2,0 11,0 4,0 4 11 15,3,0.750000,1.500000,2,4,2,0,0,solver
3,2,2,4,2,2,0 11,0 3,0 3 11 14,4,1.000000,2.000000,3,6,2,0,0,solver
